blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
131,40,51,40,65,62.5%,"Sydney CBD"
132,27,34,72,240,788.9%,"Sydney CBD"
133,2,12,20,26,1200.0%,"Sydney CBD"
135,12,29,55,61,408.3%,"Sydney CBD"
136,199,207,221,250,25.6%,"Sydney CBD"
137,160,355,381,284,77.5%,"Sydney CBD"
138,112,115,189,166,48.2%,"Sydney CBD"
139,164,246,212,259,57.9%,"Sydney CBD"
140,179,277,175,351,96.1%,"Sydney CBD"
141,3,1,0,0,-100.0%,"Sydney CBD"
142,69,92,26,93,34.8%,"Sydney CBD"
144,192,297,153,377,96.4%,"Sydney CBD"
145,96,182,161,263,174.0%,"Sydney CBD"
147,13,64,28,160,1130.8%,"Sydney CBD"
148,1790,2453,1205,1086,-39.3%,"Sydney CBD"
149,65,60,76,84,29.2%,"Sydney CBD"
150,12,10,15,53,341.7%,"Sydney CBD"
151,83,94,65,95,14.5%,"Sydney CBD"
152,95,98,127,78,-17.9%,"Sydney CBD"
153,187,186,121,170,-9.1%,"Sydney CBD"
154,82,97,77,113,37.8%,"Sydney CBD"
155,15,11,12,5,-66.7%,"Sydney CBD"
156,150,150,81,318,112.0%,"Sydney CBD"
157,0,0,0,0,0.0%,"Sydney CBD"
158,6,2,150,183,2950.0%,"Sydney CBD"
159,105,63,155,163,55.2%,"Sydney CBD"
161,28,144,348,523,1767.9%,"Sydney CBD"
162,11,355,1,27,145.5%,"Sydney CBD"
163,0,0,155,98,0.0%,"Sydney CBD"
164,140,220,228,346,147.1%,"Sydney CBD"
165,411,342,726,824,100.5%,"Sydney CBD"
166,10,6,5,68,580.0%,"Sydney CBD"
167,14,64,25,58,314.3%,"Sydney CBD"
168,60,80,60,202,236.7%,"Sydney CBD"
169,0,142,165,85,0.0%,"Sydney CBD"
170,2,2,8,15,650.0%,"Sydney CBD"
171,7,10,5,11,57.1%,"Sydney CBD"
172,146,142,43,30,-79.5%,"Sydney CBD"
173,12,16,89,61,408.3%,"Sydney CBD"
174,3,0,0,8,166.7%,"Sydney CBD"
175,94,139,99,159,69.1%,"Sydney CBD"
176,14,24,29,40,185.7%,"Sydney CBD"
177,3,9,8,25,733.3%,"Sydney CBD"
178,13,14,6,55,323.1%,"Sydney CBD"
179,1,36,791,762,0.0%,"Sydney CBD"
180,0,0,194,224,0.0%,"Sydney CBD"
181,64,1457,161,276,331.3%,"Sydney CBD"
182,3,20,251,189,6200.0%,"Sydney CBD"
183,102,643,274,422,313.7%,"Sydney CBD"
184,54,89,177,118,118.5%,"Sydney CBD"
185,10,69,43,21,110.0%,"Sydney CBD"
186,32,31,6,8,-75.0%,"Sydney CBD"
187,10,10,8,11,10.0%,"Sydney CBD"
188,0,0,0,0,0.0%,"Sydney CBD"
189,0,0,64,88,0.0%,"Sydney CBD"
190,1,1,1,0,0.0%,"Sydney CBD"
191,0,56,78,109,0.0%,"Sydney CBD"
192,2,50,18,45,2150.0%,"Sydney CBD"
193,0,4,6,16,0.0%,"Sydney CBD"
194,0,0,0,0,0.0%,"Sydney CBD"
195,11,20,13,22,100.0%,"Sydney CBD"
196,44,12,98,213,384.1%,"Sydney CBD"
198,0,1,5,6,0.0%,"Sydney CBD"
199,0,0,0,0,0.0%,"Sydney CBD"
200,5,4,0,8,60.0%,"Sydney CBD"
201,0,0,0,0,0.0%,"Sydney CBD"
203,56,75,16,23,-58.9%,"Sydney CBD"
204,31,24,2,23,-25.8%,"Sydney CBD"
205,15,21,16,16,6.7%,"Sydney CBD"
206,29,76,1,19,-34.5%,"Sydney CBD"
207,21,17,13,24,14.3%,"Sydney CBD"
208,7,4,1,10,42.9%,"Sydney CBD"
209,1,18,23,41,0.0%,"Sydney CBD"
210,78,101,104,96,23.1%,"Sydney CBD"
211,17,23,32,12,-29.4%,"Sydney CBD"
212,278,300,263,455,63.7%,"Sydney CBD"
213,3,4,12,0,-100.0%,"Sydney CBD"
214,21,47,23,26,23.8%,"Sydney CBD"
215,1350,1016,1820,1459,8.1%,"Sydney CBD"
216,12,30,34,98,716.7%,"Sydney CBD"
217,30,168,151,84,180.0%,"Sydney CBD"
218,0,2,0,0,0.0%,"Sydney CBD"
219,0,204,173,149,0.0%,"Sydney CBD"
220,22,77,61,76,245.5%,"Sydney CBD"
223,90,218,216,227,152.2%,"Sydney CBD"
225,12,2,0,46,283.3%,"Sydney CBD"
226,90,167,39,109,21.1%,"Sydney CBD"
227,0,0,0,0,0.0%,"Sydney CBD"
228,2,10,5,4,100.0%,"Sydney CBD"
229,24,41,94,53,120.8%,"Sydney CBD"
230,7,37,82,516,7271.4%,"Sydney CBD"
231,3,27,18,18,500.0%,"Sydney CBD"
232,0,4,15,3,0.0%,"Sydney CBD"
233,110,142,413,229,108.2%,"Sydney CBD"
234,45,390,479,352,682.2%,"Sydney CBD"
235,0,3,5,3,0.0%,"Sydney CBD"
236,0,0,0,0,0.0%,"Sydney CBD"
237,0,24,73,81,0.0%,"Sydney CBD"
238,32,195,810,417,1203.1%,"Sydney CBD"
239,22,21,20,33,50.0%,"Sydney CBD"
240,0,2,2,3,0.0%,"Sydney CBD"
241,511,853,635,216,-57.7%,"Sydney CBD"
300,56,39,128,119,112.5%,"Pott Point"
301,5,5,7,11,120.0%,"Pott Point"
302,54,67,57,22,-59.3%,"Pott Point"
303,32,42,45,44,37.5%,"Pott Point"
304,6,6,2,5,-16.7%,"Pott Point"
305,13,13,66,133,923.1%,"Pott Point"
306,0,8,0,1,0.0%,"Pott Point"
307,11,7,13,44,300.0%,"Pott Point"
308,1,289,286,286,0.0%,"Pott Point"
309,0,0,0,0,0.0%,"Pott Point"
310,0,0,0,0,0.0%,"Pott Point"
311,0,0,0,0,0.0%,"Pott Point"
312,0,0,0,0,0.0%,"Pott Point"
313,0,0,0,0,0.0%,"Pott Point"
314,28,28,18,53,89.3%,"Pott Point"
315,58,64,97,212,265.5%,"Pott Point"
316,64,66,23,64,0.0%,"Pott Point"
317,12,12,22,30,150.0%,"Pott Point"
318,16,99,22,65,306.3%,"Pott Point"
319,4,4,0,8,100.0%,"Pott Point"
320,65,99,73,138,112.3%,"Pott Point"
321,16,51,80,129,706.3%,"Pott Point"
322,5,17,1,17,240.0%,"Pott Point"
323,62,70,23,53,-14.5%,"Pott Point"
324,116,272,150,215,85.3%,"Pott Point"
325,3,7,1,14,366.7%,"Pott Point"
326,62,104,63,81,30.6%,"Pott Point"
327,8,81,10,59,637.5%,"Pott Point"
328,0,0,0,0,0.0%,"Pott Point"
329,14,11,5,28,100.0%,"Pott Point"
330,1,4,0,2,0.0%,"Pott Point"
331,29,9,2,25,-13.8%,"Pott Point"
332,3,4,1,4,33.3%,"Pott Point"
333,15,8,24,15,0.0%,"Pott Point"
334,0,0,0,0,0.0%,"Pott Point"
335,0,0,3,8,0.0%,"Pott Point"
336,47,47,51,33,-29.8%,"Pott Point"
337,33,15,11,7,-78.8%,"Pott Point"
338,66,77,15,99,50.0%,"Pott Point"
339,54,53,108,139,157.4%,"Pott Point"
340,27,14,6,10,-63.0%,"Pott Point"
341,0,0,0,0,0.0%,"Pott Point"
342,0,2,2,0,0.0%,"Pott Point"
