OBJECTID,BLOCKNUM,BLOCKTXT,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length
84,382,382,10,19,29,1,22300.19008,816.712,1.36E-06,0.008596663
85,378,378,0,0,0,0,3151.834355,274.184,3.26E-07,0.002744975
86,379,379,3,6,9,0,19868.2252,584.818,1.73E-06,0.005886761
87,372,372,2,1,3,1,4365.358613,382.265,4.48E-07,0.003987958
88,373,373,243,86,329,18,30925.31916,645.932,1.68E-06,0.006353866
89,381,381,9,2,11,3,16507.67225,562.341,1.45E-06,0.005798752
90,377,377,0,0,0,0,6571.445797,325.99,5.86E-07,0.003142469
91,371,371,51,22,73,10,19320.80321,587.684,1.44E-06,0.005909303
92,411,411,42,41,83,6,41717.69088,1054.363,5.73E-06,0.010356956
93,408,408,11,12,23,9,89374.51067,853.513,3.23E-06,0.008375433
94,432,432,61,28,89,13,7883.793463,241.208,2.21E-07,0.002288897
95,431,431,36,18,54,14,8469.666274,291.43,4.79E-07,0.002817625
96,438,438,79,25,104,7,64328.69828,784.098,3.21E-06,0.007750662
97,445,445,19,14,33,13,17802.34508,449.997,1.01E-06,0.004275905
98,446,446,74,19,93,26,21213.73868,324.834,6.23E-07,0.003172133
99,447,447,25,19,44,7,11159.10075,427.029,9.54E-07,0.004081487
100,448,448,28,13,41,7,8399.587552,423.174,9.18E-07,0.004047917
101,450,450,63,10,73,8,17090.46313,432.793,9.65E-07,0.004143108
102,449,449,119,50,169,12,17685.37809,429.785,9.55E-07,0.004116902
103,469,469,188,216,404,38,30919.36688,373.8,7.57E-07,0.003618072
104,467,467,430,64,494,38,59480.53962,323.598,6.25E-07,0.003240979
105,466,466,102,83,185,25,41168.21758,328.456,6.52E-07,0.003280981
106,487,487,69,39,108,10,7146.934594,310.454,2.16E-07,0.001946666
107,488,488,46,3,49,4,9575.415543,157.778,1.36E-07,0.00161219
108,463,463,12,45,57,4,7791.011718,290.988,4.75E-07,0.002832398
109,462,462,14,3,17,4,9334.793306,324.213,6.27E-07,0.003169975
110,476,476,19,14,33,5,11460.58554,415.484,5.23E-07,0.003871854
111,475,475,16,1,17,3,9449.981052,406.645,8.29E-07,0.003915266
112,491,491,15,14,29,5,13551.37535,294.313,4.99E-07,0.002895503
113,492,492,186,39,225,17,23007.84187,321.488,6.10E-07,0.003128476
114,505,505,5,17,22,2,7614.213951,320.4,4.76E-07,0.00334078
115,504,504,3,5,8,1,7894.936571,411.067,6.40E-07,0.003863725
116,503,503,9,14,23,4,19470.36306,495.426,1.32E-06,0.004734778
117,506,506,0,0,0,0,0,164.959,7.89E-08,0.001555793
118,519,519,0,0,0,0,4128.545055,258.267,3.04E-07,0.002444708
119,581,581,1,1,2,1,5512.00177,291.534,5.04E-07,0.002927051
120,582,582,412,36,448,69,24024.88193,356.758,6.69E-07,0.003479606
121,583,583,10,5,15,2,3691.627404,235.991,3.38E-07,0.002341967
122,593,593,0,0,0,0,4516.406475,347.852,6.50E-07,0.003336132
123,592,592,0,0,0,0,5732.717811,334.16,6.24E-07,0.003232326
124,594,594,7,7,14,2,6729.020784,327.75,5.90E-07,0.003162122
125,591,591,6,8,14,1,8602.090325,358.797,6.67E-07,0.003460339
126,595,595,0,0,0,0,12625.15259,460.903,1.24E-06,0.004650599
127,600,600,3,5,8,1,5918.25878,371.897,7.71E-07,0.003596514
128,601,601,0,0,0,0,7809.048836,401.942,9.51E-07,0.003922367
129,602,602,2,3,5,2,5731.184803,378.35,8.54E-07,0.003707817
130,603,603,0,0,0,0,5027.28703,346.148,7.27E-07,0.00341436
131,607,607,0,0,0,0,6530.302275,347.409,5.46E-07,0.003597765
132,604,604,0,0,0,0,5387.364092,271.951,4.36E-07,0.002722895
133,605,605,14,2,16,4,9849.031559,435.659,1.06E-06,0.00419823
134,606,606,124,0,124,24,15953.10128,539.598,1.31E-06,0.005590127
135,616,616,0,0,0,0,32383.64224,406.141,9.02E-07,0.003897243
136,617,617,1,3,4,2,7290.580297,435.559,9.94E-07,0.004154915
137,618,618,0,0,0,0,5435.826011,312.923,5.86E-07,0.00302729
138,619,619,59,17,76,7,4854.375147,261.596,2.83E-07,0.002674526
139,622,622,24,14,38,1,15878.34203,419.548,1.01E-06,0.004046404
140,623,623,2,9,11,3,1406.154334,434.03,1.05E-06,0.004174893
141,615,615,0,0,0,0,10080.59699,417.516,9.46E-07,0.004000661
142,611,611,30,21,51,8,5334.369514,339.549,4.12E-07,0.003488488
143,614,614,4,8,12,4,47651.25209,732.169,1.98E-06,0.006859664
144,620,620,15,8,23,3,8234.151365,366.763,7.62E-07,0.003595491
145,624,624,13,5,18,5,13403.1899,520.097,1.45E-06,0.005318797
146,625,625,8,7,15,2,2770.727303,909.291,4.53E-06,0.00875398
147,626,626,532,104,636,72,44109.98925,836.202,2.27E-06,0.007792879
148,627,627,12,13,25,6,15174.12542,763.059,1.04E-06,0.007144808
149,803,803,3,1,4,1,3350.913869,212.1,2.64E-07,0.002065329
150,817,817,0,0,0,0,7795.039167,316.491,5.67E-07,0.003093418
151,982,982,22,32,54,9,34590.38153,715.679,3.07E-06,0.007116914
152,978,978,0,0,0,0,11259.26804,663.052,1.08E-06,0.006395249
153,975,975,0,0,0,1,9486.331847,436.175,1.06E-06,0.004381288
154,976,976,19,48,67,8,22395.25134,593.916,2.15E-06,0.005917157
155,977,977,40,37,77,18,23497.18242,690.036,2.17E-06,0.006937015
156,979,979,2,0,2,1,2528.84994,366.487,5.71E-07,0.003625194
157,980,980,79,9,88,3,9465.750016,774.001,3.01E-06,0.007446375
158,983,983,0,0,0,0,14606.14397,712.253,1.80E-06,0.007017052
159,986,986,0,0,0,0,6850.961555,472.879,6.86E-07,0.004829999
160,984,984,117,81,198,1,13959.85614,463.903,1.05E-06,0.004697723
161,989,989,1,2,3,1,24137.80452,687.523,2.52E-06,0.006845902
162,990,990,3,10,13,3,19063.12065,680.731,1.95E-06,0.006637135
163,987,987,2,17,19,2,34933.2677,1363.067,3.70E-06,0.013610316
164,992,992,87,22,109,6,31256.4318,758.236,3.49E-06,0.007535858
165,997,997,5,0,5,1,39477.5216,946.363,3.54E-06,0.009459259
166,996,996,0,0,0,0,0,502.002,7.54E-07,0.00465626
167,1001,1001,43,6,49,11,95189.16195,818.065,3.77E-06,0.008388408
168,1004,1004,25,7,32,1,9534.010728,596.183,1.52E-06,0.005664438
169,1002,1002,10,7,17,3,32793.94533,642.301,2.19E-06,0.006338202
170,1000,1000,8,0,8,0,42050.5845,701.809,2.26E-06,0.007086438
171,1003,1003,0,0,0,0,13543.00019,1698.111,9.34E-07,0.007341815
172,1145,1145,1,4,5,1,9247.234702,783.555,2.62E-06,0.008122181
173,1146,1146,0,0,0,0,9703.800262,808.441,2.80E-06,0.008409151
174,1147,1147,0,0,0,0,6721.661419,621.905,1.99E-06,0.005959182
175,37,37,0,0,0,0,27293.83774,233.113,3.23E-07,0.002283011
176,1,1,52,40,92,13,26985.17752,836.353,1.80E-06,0.008292189
177,19,19,294,260,554,36,18704.89033,400.19,7.66E-07,0.004264213
178,1083,1083,59,36,95,11,8199.590325,398.741,8.67E-07,0.004093703
179,1084,1084,92,58,150,11,12097.21505,463.834,1.03E-06,0.004681352
180,1081,1081,11,2,13,4,10110.44287,455.38,1.01E-06,0.00440035
181,1080,1080,16,10,26,4,96494.8653,1027.665,5.52E-06,0.010234924
182,1082,1082,55,34,89,12,50139.94747,594.322,1.45E-06,0.005528845
183,47,47,622,158,780,32,42871.4326,238.43,3.14E-07,0.00220256
184,56,56,2027,187,2214,2,29279.56221,357.493,5.87E-07,0.003382841
185,73,73,4411,507,4918,72,220503.2752,579.72,1.57E-06,0.005491788
186,82,82,44,192,236,6,16848.26435,894.837,2.30E-06,0.007321635
187,89,89,6895,1988,8883,154,283867.4535,634.424,2.00E-06,0.006036142
188,115,115,323,148,471,68,154943.4537,566.093,1.49E-06,0.005378266
189,124,124,3197,481,3678,104,155007.1662,585.117,1.55E-06,0.005531145
190,128,128,908,61,969,3,57655.40154,367.44,5.71E-07,0.003456813
191,132,132,229,240,469,14,41007.30926,317.153,4.73E-07,0.003142805
192,142,142,62,93,155,11,27302.03296,239.672,3.46E-07,0.002386908
193,154,154,77,113,190,26,10895.67186,270.937,2.71E-07,0.002559065
194,155,155,44,5,49,5,24645.63448,274.328,2.76E-07,0.002590414
195,159,159,92,163,255,23,18647.71872,344.861,5.33E-07,0.003357672
196,167,167,110,58,168,14,20623.9738,407.703,6.74E-07,0.003921748
197,176,176,230,40,270,15,20439.13701,503.249,1.42E-06,0.004918398
198,174,174,23,8,31,9,46601.35022,468.489,1.18E-06,0.004558526
199,191,191,154,109,263,7,103118.5236,1088.246085,2.00E-06,0.009784088
200,215,215,2030,1459,3489,33,300186.3946,845.409,3.72E-06,0.008106208
201,350,350,1122,72,1194,70,70153.04882,503.594,1.18E-06,0.004808366
202,420,420,46,24,70,11,6082.030119,368.876,7.23E-07,0.003682115
203,425,425,0,0,0,0,4348.497807,283.877,3.37E-07,0.00293737
204,419,419,2,14,16,1,8504.706442,355.532,7.11E-07,0.003453757
205,404,404,40,43,83,15,15716.41381,312.201,6.28E-07,0.003160842
206,426,426,0,0,0,0,2184.632146,208.235,1.81E-07,0.002023761
207,423,423,1112,17,1129,6,49127.00873,372.055,8.28E-07,0.003712042
208,453,453,18,39,57,10,8343.761006,229.891,2.38E-07,0.002299983
209,451,451,115,34,149,24,8767.391829,318.617,6.07E-07,0.003109812
210,407,407,496,419,915,21,124421.6322,1075.751,3.99E-06,0.010661023
211,406,406,47,41,88,14,33754.66229,482.041,1.13E-06,0.004612524
212,452,452,19,29,48,6,17416.05084,323.94,5.86E-07,0.003120186
213,413,413,20,15,35,5,9434.350795,244.314,1.87E-07,0.002170098
214,414,414,182,45,227,25,81157.64353,777.148,2.29E-06,0.00783186
215,417,417,25,15,40,7,21920.25738,1034.266,2.03E-06,0.010551324
216,416,416,425,27,452,62,40048.37752,629.707,1.53E-06,0.006513921
217,415,415,282,18,300,10,37921.21683,558.531,1.44E-06,0.005631512
218,428,428,83,62,145,27,10497.31426,362.284,3.60E-07,0.003392774
219,429,429,43,9,52,10,61433.82706,494.6,7.71E-07,0.005156021
220,427,427,16,22,38,3,18112.39935,512.095,1.30E-06,0.00518955
221,479,479,172,71,243,13,8103.764536,357.847,7.96E-07,0.003539685
222,478,478,165,25,190,18,71652.06145,642.275,2.40E-06,0.006393586
223,477,477,112,23,135,37,32368.76591,514.455,1.55E-06,0.005117501
224,522,522,71,64,135,10,38432.20712,344.736,3.74E-07,0.003467022
225,524,524,1383,389,1772,147,76166.85662,617.51,1.48E-06,0.006322162
226,612,612,0,0,0,0,6455.507791,332.071,6.31E-07,0.003214455
227,621,621,0,0,0,0,11464.02875,511.13,1.29E-06,0.004869516
228,613,613,0,0,0,0,12467.76158,398.642,8.61E-07,0.003832505
229,629,629,53,6,59,13,11823.43339,360.418,7.21E-07,0.003686147
230,630,630,110,20,130,17,10376.4904,364.087,7.18E-07,0.003713982
231,631,631,559,124,683,4,37626.68096,609.301,1.33E-06,0.005717726
232,647,647,130,44,174,35,9873.878342,372.01,7.58E-07,0.003808391
233,648,648,491,115,606,24,58462.03925,386.4,8.34E-07,0.003780359
234,649,649,107,43,150,32,14717.653,379.057,7.64E-07,0.003870622
235,652,652,135,89,224,52,45526.04228,900.044,1.87E-06,0.008385768
236,651,651,41,22,63,8,9326.770596,407.437,1.64E-06,0.00617636
237,650,650,95,42,137,5,19332.64229,845.404,1.37E-06,0.005676475
238,1095,1095,1044,114,1158,159,103628.4074,1489.045,1.11E-05,0.014958861
239,21,21,242,473,715,38,104981.8734,858.085,1.71E-06,0.008034852
240,2,2,76,20,96,5,15385.33125,722.53,2.59E-06,0.007180386
241,4,4,11,15,26,2,14195.81618,508.279,9.66E-07,0.005320211
242,5,5,1061,245,1306,26,68535.65043,666.005,1.36E-06,0.006823567
243,6,6,12,19,31,3,8948.286753,188.208,2.25E-07,0.001868209
244,7,7,0,0,0,0,6043.565046,478.926,7.63E-07,0.004619772
245,8,8,10,10,20,1,5235.57482,287.79,3.89E-07,0.002804428
246,9,9,106,118,224,11,26092.48196,659.719,1.42E-06,0.00611648
247,99,99,0,0,0,0,0,315.731,3.82E-07,0.002924275
248,3,3,0,0,0,0,0,220.443,1.25E-07,0.002348329
249,92,92,0,0,0,0,0,117.756,7.33E-08,0.001148612
250,40,40,5155,184,5339,244,180932.829,566.209,1.45E-06,0.005336857
251,144,144,319,377,696,76,35182.81761,379.403,6.98E-07,0.003852857
252,323,323,36,53,89,16,21446.73615,517.361,7.28E-07,0.004834096
253,322,322,8,17,25,6,20011.74792,361.806,4.84E-07,0.003435866
254,321,321,233,129,362,55,14613.9708,236.224,3.10E-07,0.002258552
255,320,320,105,138,243,52,37755.49543,512.694,8.26E-07,0.005129001
256,398,398,180,300,480,46,71390.92908,791.847,2.81E-06,0.007484007
257,399,399,1,2,3,1,4772.137959,308.249,3.43E-07,0.003200175
258,400,400,5,5,10,2,14354.3943,705.681,1.02E-06,0.007194923
259,403,403,125,299,424,52,25937.31583,535.591,9.82E-07,0.005422498
260,443,443,0,0,0,0,10466.54548,353.244,7.79E-07,0.003476927
261,442,442,143,52,195,10,30741.36711,695.454,2.19E-06,0.006600844
262,441,441,59,35,94,16,7804.188022,262.383,3.91E-07,0.002666972
263,440,440,63,24,87,15,58122.26716,588.914,1.28E-06,0.005818596
264,1092,1092,457,254,711,17,45781.70213,917.166,4.07E-06,0.009250593
265,1091,1091,9,10,19,5,43527.1968,557.138,1.79E-06,0.005374017
266,1093,1093,874,166,1040,58,70126.01723,1322.224,7.26E-06,0.013013716
267,68,68,6805,591,7396,182,168554.6394,530.392,1.34E-06,0.004628422
268,13,13,0,0,0,0,4713.30801,296.995,2.96E-07,0.002579614
269,14,14,72,34,106,8,9299.266483,433.916,5.55E-07,0.004144918
270,17,17,44,42,86,7,11432.42355,516.503,1.16E-06,0.004915348
271,564,564,1482,334,1816,168,54478.04704,411.548,9.00E-07,0.003976751
272,724,724,0,0,0,0,10849.19065,507.224,1.19E-06,0.004843661
273,725,725,0,0,0,0,3448.157977,261.577,4.19E-07,0.002598301
274,723,723,2,0,2,1,9480.248002,504.919,1.16E-06,0.004821739
275,722,722,0,0,0,0,10856.41106,488.858,1.44E-06,0.004896821
276,726,726,0,0,0,0,2909.888207,265.352,4.29E-07,0.002633811
277,734,734,0,0,0,0,7976.929025,416.545,9.96E-07,0.004046014
278,733,733,0,0,0,0,3779.863205,330.865,3.00E-07,0.003092144
279,735,735,0,0,0,0,5856.698562,380.415,8.26E-07,0.003685195
280,736,736,0,0,0,0,13929.00716,605.064,1.67E-06,0.005744822
281,737,737,1,2,3,0,10355.86509,568.541,1.35E-06,0.005339289
282,738,738,0,0,0,0,6025.433985,390.981,7.52E-07,0.003710018
283,32,32,552,139,691,16,68078.75221,400.914,8.53E-07,0.003856309
284,135,135,84,61,145,24,6635.087308,148.02,1.19E-07,0.001492258
285,744,744,0,0,0,0,6939.384171,346.548,5.00E-07,0.003289867
286,745,745,0,0,0,0,4189.999974,340.483,6.43E-07,0.003289775
287,742,742,0,0,0,0,4769.623421,334.776,6.56E-07,0.003370205
288,743,743,0,0,0,0,3183.173011,260.74,4.08E-07,0.002557584
289,746,746,9,1,10,1,9721.964823,411.508,9.60E-07,0.004122502
290,752,752,40,35,75,5,13265.30427,533.244,1.63E-06,0.005207093
291,751,751,0,0,0,0,4461.79381,341.018,6.29E-07,0.003364062
292,753,753,7,7,14,1,21301.99153,585.263,1.60E-06,0.005628842
293,754,754,4,4,8,1,23439.81849,639.643,2.03E-06,0.006083607
294,145,145,569,263,832,144,200739.3062,455.436,1.26E-06,0.004474384
295,456,456,163,68,231,33,17795.67082,440.016,1.01E-06,0.004221302
296,470,470,57,45,102,19,35410.2416,354.906,6.96E-07,0.00350357
297,474,474,88,92,180,9,18966.44127,552.143,1.54E-06,0.005490094
298,473,473,85,91,176,30,17968.79882,473.664,1.02E-06,0.004788975
299,472,472,39,19,58,21,14337.33276,346.581,4.91E-07,0.003252685
300,482,482,164,28,192,8,6057.019987,179.516,1.85E-07,0.001801988
301,481,481,49,0,49,3,15901.02332,198.412,2.42E-07,0.001999421
302,480,480,703,0,703,2,38010.24681,662.796,2.28E-06,0.006734516
303,1020,1020,3,4,7,1,7466.371411,462.194,8.83E-07,0.004592522
304,1021,1021,0,0,0,0,3414.89906,332.592,4.77E-07,0.003395561
305,1022,1022,0,0,0,0,13948.71016,454.924,1.13E-06,0.004375872
306,1023,1023,2,0,2,1,10987.53254,437.282,1.03E-06,0.004206752
