Num,BLOCKNUM,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length,suburb,jobs_sqm
58,312,0,0,0,0,39540.12053,828.676,0.0000015,0.00783379,"Pott Point",0
59,311,0,0,0,0,7534.495181,269.699,0.000000292,0.002829386,"Pott Point",0
60,319,2,8,10,2,4596.024889,179.164,0.00000019,0.001754408,"Pott Point",0
61,327,19,59,78,9,9396.359421,169.694,0.000000158,0.001736644,"Pott Point",0.01
62,333,5,15,20,2,10702.62243,242.579,0.000000237,0.002279393,"Pott Point",0
63,329,28,28,56,12,18367.48599,532.683,0.000000795,0.004983722,"Pott Point",0
64,331,16,25,41,3,9240.575592,608.925,0.000000767,0.005671738,"Pott Point",0
65,330,16,2,18,5,11068.44028,241.201,0.000000261,0.002283366,"Pott Point",0
66,337,207,7,214,4,26619.34125,797.065,0.00000274,0.007547308,"Pott Point",0.01
67,335,6,8,14,2,7406.693001,202.9,0.000000176,0.001923916,"Pott Point",0
68,332,4,4,8,2,25156.04955,593.139,0.00000107,0.005626054,"Pott Point",0
69,336,12,33,45,4,6960.180629,297.225,0.000000499,0.002980994,"Pott Point",0.01
70,356,3,3,6,1,26691.46086,253.413,0.000000405,0.002524869,"Pott Point",0
71,355,12,15,27,5,7117.327692,233.187,0.000000323,0.002344315,"Pott Point",0
72,351,48,15,63,10,25905.36877,545.968,0.00000123,0.005162391,"Pott Point",0
73,346,0,0,0,0,4193.601329,174.537,0.000000183,0.001714553,"Pott Point",0
74,345,45,19,64,2,3084.092058,274.88,0.000000334,0.002570142,"Pott Point",0.02
75,348,26,12,38,5,2982.591136,254.086,0.000000252,0.002010828,"Pott Point",0.01
76,347,14,0,14,2,1797.144483,178.989,0.000000324,0.002406899,"Pott Point",0.01
77,349,70,2,72,5,11953.40509,500.237,0.00000113,0.004743523,"Pott Point",0.01
78,374,0,0,0,0,2879.937452,214.679,0.000000244,0.002078487,"Moore Park",0
79,375,20,3,23,3,5388.598109,308.891,0.000000579,0.003044616,"Moore Park",0
80,376,2,1,3,1,8201.59311,378.952,0.000000819,0.00367132,"Moore Park",0
81,380,0,0,0,0,4068.013184,231.385,0.000000322,0.002329614,"Moore Park",0
82,384,26,15,41,8,4322.217376,361.342,0.000000654,0.003611045,"Moore Park",0.01
83,383,88,55,143,16,15699.10822,511.524,0.00000141,0.00505669,"Moore Park",0.01
84,382,10,19,29,1,22300.19008,816.712,0.00000136,0.008596663,"Moore Park",0
85,378,0,0,0,0,3151.834355,274.184,0.000000326,0.002744975,"Moore Park",0
86,379,3,6,9,0,19868.2252,584.818,0.00000173,0.005886761,"Moore Park",0
87,372,2,1,3,1,4365.358613,382.265,0.000000448,0.003987958,"Moore Park",0
88,373,243,86,329,18,30925.31916,645.932,0.00000168,0.006353866,"Moore Park",0.01
89,381,9,2,11,3,16507.67225,562.341,0.00000145,0.005798752,"Moore Park",0
90,377,0,0,0,0,6571.445797,325.99,0.000000586,0.003142469,"Moore Park",0
91,371,51,22,73,10,19320.80321,587.684,0.00000144,0.005909303,"Moore Park",0
92,411,42,41,83,6,41717.69088,1054.363,0.00000573,0.010356956,"Darlinghurst and Surry Hill",0
93,408,11,12,23,9,89374.51067,853.513,0.00000323,0.008375433,"Darlinghurst and Surry Hill",0
94,432,61,28,89,13,7883.793463,241.208,0.000000221,0.002288897,"Darlinghurst and Surry Hill",0.01
95,431,36,18,54,14,8469.666274,291.43,0.000000479,0.002817625,"Darlinghurst and Surry Hill",0.01
96,438,79,25,104,7,64328.69828,784.098,0.00000321,0.007750662,"Darlinghurst and Surry Hill",0
97,445,19,14,33,13,17802.34508,449.997,0.00000101,0.004275905,"Darlinghurst and Surry Hill",0
98,446,74,19,93,26,21213.73868,324.834,0.000000623,0.003172133,"Darlinghurst and Surry Hill",0
99,447,25,19,44,7,11159.10075,427.029,0.000000954,0.004081487,"Darlinghurst and Surry Hill",0
100,448,28,13,41,7,8399.587552,423.174,0.000000918,0.004047917,"Darlinghurst and Surry Hill",0
101,450,63,10,73,8,17090.46313,432.793,0.000000965,0.004143108,"Darlinghurst and Surry Hill",0
102,449,119,50,169,12,17685.37809,429.785,0.000000955,0.004116902,"Darlinghurst and Surry Hill",0.01
103,469,188,216,404,38,30919.36688,373.8,0.000000757,0.003618072,"Darlinghurst and Surry Hill",0.01
