OBJECTID,BLOCKNUM,InternalFloorArea,FullTimeEmployees,PartTimeEmployees,TotalEmployees,Businesses,Shape__Area,Shape__Length
1,25,62870.59915636,538,120,658,14,5.48145635548281e-07,0.00343880144940304
2,1371,121454.57156067,123,32,155,6,4.77379444419057e-06,0.00886330981174982
3,191,106423.24214026,124,78,202,7,1.99714258997119e-06,0.00978408798938851
4,241,40791.82182488,278,635,913,108,6.60654086459544e-06,0.0205085686873991
5,342,7677.4032092,2,2,4,1,4.3419504436315e-07,0.00276095963689505
6,196,68191.23047531,736,98,834,47,1.42966882776818e-06,0.00493926848422241
7,718,25553.31879329,59,70,129,23,2.63445099335513e-06,0.00723912014698986
8,710,4754.74716011,3,7,10,1,3.72291196981678e-07,0.00295578276468737
9,187,12074.80509254,106,8,114,4,6.05936747888336e-07,0.0031648805951346
10,167,21524.37177308,277,25,302,19,6.74149760016007e-07,0.00392174765507041
11,106,26259.18744137,73,18,91,3,1.55632915266324e-06,0.00486462667883305
12,101,5213.88782191,29,14,43,1,3.98454085370759e-06,0.00776723368145466
13,186,18791.06932752,230,6,236,4,7.10393123881659e-07,0.00343022401381552
14,177,24826.37831512,37,8,45,5,1.22986557471449e-06,0.00472229729987767
15,88,60952.22131313,278,295,573,160,5.16696673003025e-07,0.00396313647416313
16,433,14338.28187277,151,61,212,3,1.38076029543299e-06,0.0070350193952842
17,432,8225.85130509,96,23,119,13,2.20849869947415e-07,0.00228889703649992
18,428,10912.33971242,83,62,145,27,3.60344529326539e-07,0.00339277452286145
19,405,11927.36810527,16,21,37,9,2.95282916340511e-07,0.0026414197801052
20,333,11317.36247744,8,24,32,2,2.39912878896575e-07,0.00228768689914856
21,420,6110.87488905,71,5,76,13,7.22922777640633e-07,0.00368211549391952
22,329,16899.11611153,22,5,27,13,7.88438683230197e-07,0.00495345329409297
23,323,21600.67867353,38,23,61,18,7.25796326150885e-07,0.00481963106782358
24,317,7767.75147361,21,22,43,11,1.48497292684624e-07,0.00155241095040443
25,316,18011.82623663,60,23,83,27,5.72063527215505e-07,0.00305530478750935
26,233,39032.53424077,1419,413,1832,111,2.31820513363346e-06,0.00795954554198209
27,229,14950.02213444,68,94,162,20,1.61234720508219e-06,0.00599901790544492
28,228,102534.60336269,9,5,14,4,2.21710206460557e-06,0.00650560173476024
29,225,12915.42898558,40,0,40,1,2.16302532862755e-06,0.0100049290315931
30,216,64295.19897151,471,34,505,42,1.84188183993683e-06,0.00641718498760631
31,210,40873.30845099,450,104,554,34,7.13028839527396e-07,0.00349876725347277
32,208,6572.35138006,420,1,421,5,2.32335878536105e-07,0.00232563720445214
33,205,15486.32990799,28,16,44,16,5.94734046899248e-07,0.00381882686160986
34,204,71176.53470695,47,2,49,16,7.72253770264797e-07,0.00470966722020721
35,203,58733.38298363,500,16,516,8,6.77735897625098e-07,0.00428928010899359
36,820,13844.39339062,38,39,77,5,8.16247393231606e-07,0.00370436712867227
37,815,10863.40041288,18,7,25,4,4.38881215814035e-07,0.0031644731511508
38,814,17762.23499844,16,25,41,3,7.35880348656792e-07,0.00362927470156317
39,813,8774.12516026,11,4,15,1,4.44542365585221e-07,0.00272843464658359
40,669,11411.01565592,59,17,76,7,6.1847140386817e-07,0.00389746145700284
41,646,13380.10240163,25,5,30,6,2.88505680146045e-06,0.00867227585725811
42,627,15298.76089479,12,13,25,6,1.04065065897885e-06,0.00714480707626837
43,757,15182.75885458,7,0,7,2,1.03431739262305e-06,0.00717349678723288
44,303,31400.66444365,49,45,94,12,7.98198925622273e-07,0.00400826260618838
45,931,3957.17145366,24,3,27,2,5.96963673160644e-07,0.00327634622770689
46,828,18908.69637971,21,7,28,6,5.76326328882715e-07,0.00340923038079993
47,802,5116.5186923,84,0,84,3,2.30907971854322e-07,0.00193515627871271
48,800,17959.85652213,13,8,21,9,6.55266831017798e-07,0.0034377105555035
49,967,31098.00382649,7,5,12,4,3.48799585481174e-06,0.0081888727798409
50,951,29404.1381968,35,21,56,15,1.73759462995804e-06,0.00538084920650314
51,950,13531.18370009,3,14,17,2,1.3355424925976e-06,0.0047696563049621
52,924,17787.92517208,40,29,69,10,1.73788157553645e-06,0.00620313661319102
53,922,18971.22548794,7,0,7,1,1.92959078049171e-06,0.00712110283757686
54,913,31640.8786261,135,22,157,32,2.59310127148638e-06,0.0083801049504324
55,911,10825.40957705,54,80,134,20,1.18529851533822e-06,0.00470063546149651
56,491,12795.26883671,15,14,29,5,4.98860572406556e-07,0.00289567804020219
57,531,8924.97418277,69,17,86,13,8.09675839263946e-07,0.00368762096305961
58,533,3176.09706882,2,3,5,2,2.55169652518816e-07,0.00229774697668814
59,984,14395.83722267,54,91,145,1,1.05468870970071e-06,0.00469772257948264
60,982,36010.92866315,28,2,30,10,3.07438494928647e-06,0.00711691533409803
61,543,11505.40896679,56,4,60,8,9.66478182817809e-07,0.00505922105531387
62,549,4278.69226228,7,7,14,3,3.97580606659176e-07,0.00303886000642472
63,577,13975.37490701,173,84,257,4,6.28573161520762e-07,0.00317455016036414
64,578,25257.78909774,23,18,41,6,8.59461579238996e-07,0.00414971974950215
65,582,25070.55206813,412,36,448,69,6.68541815684875e-07,0.0034796066435183
66,585,5628.25217677,5,0,5,2,5.61874912818894e-07,0.00315495259290422
67,589,19280.09187642,130,13,143,23,1.63398954100558e-06,0.00593686180627963
68,594,6734.29111855,4,4,8,2,5.90058334637433e-07,0.00316212273775352
69,598,5766.36832382,5,0,5,1,5.79250809096266e-07,0.00306002493835436
70,600,5913.67186712,3,4,7,1,7.71258328313706e-07,0.00359651442228667
71,602,5708.8875334,0,10,10,2,8.54352492751786e-07,0.00370781732289784
72,617,7826.92801295,0,3,3,2,9.93712092167698e-07,0.00415491400623016
73,618,5498.06569648,3,0,3,1,5.87557224207558e-07,0.00303037710104952
74,619,4838.30956622,59,17,76,7,2.82542259810725e-07,0.00267452623493324
75,622,16193.4473931,30,9,39,1,1.01054001788725e-06,0.00404640462475735
76,623,1406.15413084,3,2,5,1,1.05303251984878e-06,0.00417489298464637
77,624,13725.90324963,13,5,18,5,1.45245076055289e-06,0.00531879895257395
78,628,82692.46773316,1813,152,1965,11,3.34818696501316e-06,0.00772908002569964
79,629,12161.63218908,53,6,59,13,7.18813225830672e-07,0.00368254216919189
80,630,10650.58621562,110,20,130,17,7.18264345778152e-07,0.00371398103814714
81,634,59530.38014948,7,0,7,4,1.91950448424905e-06,0.00561546641214188
82,637,22097.78476639,6,0,6,2,1.05713615994318e-06,0.00445320724786282
83,639,19071.73176265,205,57,262,20,8.44687292556046e-07,0.00413715951972883
84,642,15810.84506231,102,15,117,8,8.41169821796939e-07,0.00416085403930378
85,643,10495.32616244,13,3,16,4,4.14333499065833e-07,0.00263757961658324
86,660,11188.23734511,142,4,146,8,5.92473952565342e-07,0.0033385194961752
87,667,14769.38949066,32,16,48,8,9.16756562219234e-07,0.00527746125687274
88,672,4363.45677211,6,5,11,1,4.74255557492143e-07,0.0037596103347823
89,673,6040.81716416,1,10,11,1,7.21023297955981e-07,0.00451746977449506
90,680,724.34967199,1,2,3,1,1.58782313519623e-07,0.00200661143750965
91,683,6436.1994947,3,2,5,1,4.78295532957418e-07,0.00426351769412411
92,684,13962.05249981,47,26,73,17,1.0750477485999e-06,0.00483254066606683
93,685,5096.2160021,31,0,31,2,3.1324225346907e-07,0.00298739662662152
94,689,21517.36934667,0,1,1,1,1.56679288920714e-06,0.00566945651479544
95,850,2872.44581841,20,11,31,10,1.96576820599148e-07,0.00182931664232504
96,851,3251.55192044,0,2,2,1,2.66557435679715e-07,0.00206470681997716
97,857,5823.41582783,29,39,68,13,3.68525434168987e-07,0.00246419322326893
98,695,18919.26229056,58,18,76,20,6.76509898767108e-07,0.00360232072401347
99,697,15425.87654291,91,35,126,22,1.25278029372566e-06,0.00544803785978841
100,706,10061.17693134,40,7,47,3,1.25634460346191e-06,0.00459949572066298
101,714,5889.61768924,1,2,3,1,6.38871370028937e-07,0.00460249092759819
102,720,1882.25663036,3,5,8,2,3.45677108271047e-07,0.00231087538030432
103,729,9950.39250634,68,14,82,9,5.17882199346786e-07,0.00552429778492775
104,747,12468.51009832,15,9,24,9,1.14472686618683e-06,0.00581541046014469
105,752,13400.86859859,19,20,39,5,1.63492995852721e-06,0.00520709261132571
106,1001,98155.55672813,43,6,49,11,3.76881916963612e-06,0.00838840828158203
107,1004,9722.98662491,25,7,32,1,1.51347603605245e-06,0.00565245359960318
108,1005,15135.34479441,1,0,1,1,1.50664800457889e-06,0.00564273489357382
109,1013,12824.62836705,19,7,26,7,1.44684008773766e-06,0.0059539577920775
110,1014,18945.55866405,9,6,15,4,1.6289736777253e-06,0.00649466122854468
111,1020,7556.14544203,3,4,7,1,8.80528659763513e-07,0.00458430722547958
112,1023,11025.01977891,2,0,2,1,1.02816102298675e-06,0.00421522713578347
113,1027,5443.77217677,11,8,19,5,4.4308490032563e-07,0.00367677054611262
114,1046,60422.08205956,25,13,38,2,5.84197096031858e-06,0.0108618117272406
115,1050,18599.70321128,11,7,18,5,1.72461477632169e-06,0.0058981243517582
116,1051,17828.29016037,1,3,4,1,1.50315008795587e-06,0.00571496424066695
117,1053,6790.78681136,9,6,15,3,5.68917130294722e-07,0.00310891444618391
118,1056,5124.99016384,20,5,25,2,7.69177859183401e-07,0.00431851582777027
119,1057,24009.82532525,158,38,196,27,2.13495604839409e-06,0.00742110086752559
120,1058,9191.09857726,9,12,21,4,5.95496203459334e-07,0.00308348522310229
121,1062,54837.38202328,31,7,38,11,9.92885361483786e-07,0.004044628948051
122,1071,2420.31726428,8,1,9,4,2.68144503934309e-07,0.00221482961649812
123,1083,8227.08759976,85,13,98,12,8.61227363202488e-07,0.00408850957801642
124,1084,12228.18776104,59,15,74,11,1.02514286481892e-06,0.00478178765929937
125,1092,25362.22826207,191,27,218,17,4.067013378517e-06,0.00922796017626931
126,1096,36679.90741009,499,20,519,12,4.81503684568452e-06,0.00893988832514077
127,1103,9119.22460206,69,0,69,7,9.08145011635497e-07,0.00502354516577327
128,1109,4807.06766849,20,0,20,3,4.68326106783934e-07,0.00354297110998871
129,1116,11915.47356181,63,19,82,21,1.45132980833296e-06,0.00562992991252641
130,1133,7746.46125836,3,2,5,1,2.26983229367761e-06,0.00711005860674976
131,1135,10781.63123537,15,6,21,3,3.94485914512188e-06,0.00750902620806555
132,1137,5755.20391886,6,2,8,2,1.6362068890885e-06,0.00526295202533615
133,1160,19478.48182252,2,1,3,1,1.36350490720361e-06,0.00575959709336267
134,375,5436.26578369,26,0,26,3,5.62379682378378e-07,0.0030100408345942
135,376,8147.6096909,0,2,2,1,8.10176516097272e-07,0.00366327055793069
136,989,24501.06505108,1,2,3,1,2.51932897299412e-06,0.0068459006665507
137,389,34803.44260767,8,1,9,1,3.44116233463865e-06,0.00844897295152526
